antecedent,consequent,support,confidence
{34 46},{16},0.253,0.53
{16 46},{34},0.197,0.683
{16 34},{46},0.332,0.404
{46},{16 34},0.372,0.36
{34},{16 46},0.641,0.209
{16},{34 46},0.513,0.261
{32 34},{16},0.277,0.543
{16 34},{32},0.332,0.453
{16 32},{34},0.224,0.672
{34},{16 32},0.641,0.235
{32},{16 34},0.413,0.365
{16},{32 34},0.513,0.293
{34 39},{16},0.21,0.548
{16 39},{34},0.17,0.676
{16 34},{39},0.332,0.345
{39},{16 34},0.316,0.363
{34},{16 39},0.641,0.179
{16},{34 39},0.513,0.224
{12 34},{26},0.238,0.434
{26 34},{12},0.27,0.382
{12 26},{34},0.153,0.673
{34},{12 26},0.641,0.161
