antecedent,consequent,support,confidence
{32 34},{1 18},0.277,0.468
{18 32},{1 34},0.304,0.427
{1 32},{18 34},0.226,0.575
{34},{1 18 32},0.641,0.203
{18},{1 32 34},0.705,0.184
{1},{18 32 34},0.52,0.25
{32},{1 18 34},0.413,0.314
{1 18 48},{16},0.194,0.542
{16 18 48},{1},0.184,0.573
{1 16 48},{18},0.138,0.763
{1 16 18},{48},0.209,0.502
{18 48},{1 16},0.348,0.302
{1 48},{16 18},0.255,0.413
{1 18},{16 48},0.387,0.272
{16 48},{1 18},0.248,0.424
{16 18},{1 48},0.369,0.285
{1 16},{18 48},0.278,0.379
{48},{1 16 18},0.479,0.22
{18},{1 16 48},0.705,0.149
{1},{16 18 48},0.52,0.202
{16},{1 18 48},0.513,0.205
{19 30 34},{1},0.215,0.597
{1 19 30},{34},0.177,0.725
{1 30 34},{19},0.214,0.6
{1 19 34},{30},0.203,0.631
{19 30},{1 34},0.316,0.405
{30 34},{1 19},0.368,0.348
{19 34},{1 30},0.36,0.356
{1 30},{19 34},0.31,0.413
{1 19},{30 34},0.288,0.444
{1 34},{19 30},0.352,0.364
{30},{1 19 34},0.563,0.227
{19},{1 30 34},0.54,0.237
{34},{1 19 30},0.641,0.2
{1},{19 30 34},0.52,0.246
{1 19 34},{48},0.203,0.507
{19 34 48},{1},0.178,0.581
{1 19 48},{34},0.148,0.698
{1 34 48},{19},0.179,0.578
{19 34},{1 48},0.36,0.287
{1 19},{34 48},0.288,0.358
{1 34},{19 48},0.352,0.293
{19 48},{1 34},0.268,0.385
{34 48},{1 19},0.316,0.326
{1 48},{19 34},0.255,0.405
{19},{1 34 48},0.54,0.191
{34},{1 19 48},0.641,0.161
{1},{19 34 48},0.52,0.198
{48},{1 19 34},0.479,0.215
{1 19 34},{16},0.203,0.55
{16 19 34},{1},0.19,0.589
{1 16 19},{34},0.16,0.698
{1 16 34},{19},0.188,0.595
{19 34},{1 16},0.36,0.311
{1 19},{16 34},0.288,0.388
{1 34},{16 19},0.352,0.318
{16 19},{1 34},0.286,0.39
{16 34},{1 19},0.332,0.336
{1 16},{19 34},0.278,0.403
{19},{1 16 34},0.54,0.207
{34},{1 16 19},0.641,0.174
{1},{16 19 34},0.52,0.215
{16},{1 19 34},0.513,0.218
{1 30 34},{48},0.214,0.527
{30 34 48},{1},0.191,0.59
{1 30 48},{34},0.157,0.715
{1 34 48},{30},0.179,0.63
{30 34},{1 48},0.368,0.306
{1 30},{34 48},0.31,0.363
{1 34},{30 48},0.352,0.319
{30 48},{1 34},0.282,0.398
{34 48},{1 30},0.316,0.355
{1 48},{30 34},0.255,0.442
{30},{1 34 48},0.563,0.2
{34},{1 30 48},0.641,0.176
{1},{30 34 48},0.52,0.216
{48},{1 30 34},0.479,0.235
{1 30 34},{16},0.214,0.539
{16 30 34},{1},0.192,0.6
{1 16 30},{34},0.165,0.698
{1 16 34},{30},0.188,0.613
{30 34},{1 16},0.368,0.313
{1 30},{16 34},0.31,0.371
{1 34},{16 30},0.352,0.327
{16 30},{1 34},0.29,0.397
{16 34},{1 30},0.332,0.346
{1 16},{30 34},0.278,0.415
{30},{1 16 34},0.563,0.204
{34},{1 16 30},0.641,0.18
{1},{16 30 34},0.52,0.221
{16},{1 30 34},0.513,0.224
{1 30 34},{32},0.214,0.491
{30 32 34},{1},0.17,0.618
{1 30 32},{34},0.141,0.741
{1 32 34},{30},0.163,0.643
{30 34},{1 32},0.368,0.285
{1 30},{32 34},0.31,0.338
{1 34},{30 32},0.352,0.298
{30 32},{1 34},0.245,0.428
{32 34},{1 30},0.277,0.378
{1 32},{30 34},0.226,0.464
{30},{1 32 34},0.563,0.186
{34},{1 30 32},0.641,0.164
{1},{30 32 34},0.52,0.202
{32},{1 30 34},0.413,0.254
{4 6 14},{18},0.164,0.76
{6 14 18},{4},0.29,0.43
{4 14 18},{6},0.22,0.566
{4 6 18},{14},0.166,0.747
{6 14},{4 18},0.388,0.321
{4 14},{6 18},0.289,0.431
{4 6},{14 18},0.224,0.556
{14 18},{4 6},0.527,0.236
{6 18},{4 14},0.382,0.326
{4 18},{6 14},0.29,0.429
{14},{4 6 18},0.717,0.174
{6},{4 14 18},0.528,0.236
{4},{6 14 18},0.397,0.314
{18},{4 6 14},0.705,0.177
{6 14 30},{4},0.235,0.459
{4 6 14},{30},0.164,0.658
{4 14 30},{6},0.184,0.586
{4 6 30},{14},0.14,0.767
{6 14},{4 30},0.388,0.278
{14 30},{4 6},0.421,0.256
{6 30},{4 14},0.307,0.351
{4 14},{6 30},0.289,0.373
{4 6},{14 30},0.224,0.481
{4 30},{6 14},0.242,0.446
{14},{4 6 30},0.717,0.15
{6},{4 14 30},0.528,0.204
{30},{4 6 14},0.563,0.191
{4},{6 14 30},0.397,0.272
{4 6 14},{34},0.164,0.709
{6 14 34},{4},0.265,0.438
{4 14 34},{6},0.201,0.579
{4 6 34},{14},0.157,0.737
{6 14},{4 34},0.388,0.299
{4 14},{6 34},0.289,0.402
{4 6},{14 34},0.224,0.519
{14 34},{4 6},0.475,0.245
{6 34},{4 14},0.352,0.33
{4 34},{6 14},0.269,0.431
{14},{4 6 34},0.717,0.162
{6},{4 14 34},0.528,0.22
{4},{6 14 34},0.397,0.293
{34},{4 6 14},0.641,0.181
{4 6 30},{18},0.14,0.727
{6 18 30},{4},0.222,0.461
{4 18 30},{6},0.173,0.592
{4 6 18},{30},0.166,0.613
{6 30},{4 18},0.307,0.333
{4 30},{6 18},0.242,0.423
{4 6},{18 30},0.224,0.456
{18 30},{4 6},0.397,0.257
{6 18},{4 30},0.382,0.267
{4 18},{6 30},0.29,0.352
{30},{4 6 18},0.563,0.181
{6},{4 18 30},0.528,0.194
{4},{6 18 30},0.397,0.257
{18},{4 6 30},0.705,0.145
{4 6 34},{18},0.157,0.775
{6 18 34},{4},0.262,0.466
{4 6 18},{34},0.166,0.733
{4 18 34},{6},0.205,0.597
{6 34},{4 18},0.352,0.347
{4 6},{18 34},0.224,0.545
{4 34},{6 18},0.269,0.454
{6 18},{4 34},0.382,0.32
{18 34},{4 6},0.466,0.262
{4 18},{6 34},0.29,0.421
{6},{4 18 34},0.528,0.231
{34},{4 6 18},0.641,0.191
{4},{6 18 34},0.397,0.308
{18},{4 6 34},0.705,0.173
{4 6 30},{34},0.14,0.713
{6 30 34},{4},0.208,0.482
{4 30 34},{6},0.167,0.599
{4 6 34},{30},0.157,0.636
{6 30},{4 34},0.307,0.326
{4 30},{6 34},0.242,0.414
{4 6},{30 34},0.224,0.447
{30 34},{4 6},0.368,0.272
{6 34},{4 30},0.352,0.284
{4 34},{6 30},0.269,0.372
{30},{4 6 34},0.563,0.178
{6},{4 30 34},0.528,0.19
{4},{6 30 34},0.397,0.252
{34},{4 6 30},0.641,0.156
{4 14 19},{18},0.173,0.786
{4 14 18},{19},0.22,0.618
{14 18 19},{4},0.306,0.444
{4 18 19},{14},0.173,0.784
{4 14},{18 19},0.289,0.47
{14 19},{4 18},0.399,0.34
{4 19},{14 18},0.228,0.595
{14 18},{4 19},0.527,0.258
{4 18},{14 19},0.29,0.468
{18 19},{4 14},0.4,0.34
{14},{4 18 19},0.717,0.189
{4},{14 18 19},0.397,0.342
{19},{4 14 18},0.54,0.252
{18},{4 14 19},0.705,0.193
{4 14 30},{18},0.184,0.75
{14 18 30},{4},0.31,0.445
{4 18 30},{14},0.173,0.799
{4 14 18},{30},0.22,0.627
{14 30},{4 18},0.421,0.327
{4 30},{14 18},0.242,0.57
{4 14},{18 30},0.289,0.477
{18 30},{4 14},0.397,0.347
{14 18},{4 30},0.527,0.261
{4 18},{14 30},0.29,0.475
{30},{4 14 18},0.563,0.245
{14},{4 18 30},0.717,0.192
{4},{14 18 30},0.397,0.347
{18},{4 14 30},0.705,0.195
{4 14 34},{18},0.201,0.789
{14 18 34},{4},0.36,0.439
{4 14 18},{34},0.22,0.719
{4 18 34},{14},0.205,0.773
{14 34},{4 18},0.475,0.333
{4 14},{18 34},0.289,0.547
{4 34},{14 18},0.269,0.587
{14 18},{4 34},0.527,0.3
{18 34},{4 14},0.466,0.339
{4 18},{14 34},0.29,0.545
{14},{4 18 34},0.717,0.221
{34},{4 14 18},0.641,0.247
{4},{14 18 34},0.397,0.399
{18},{4 14 34},0.705,0.224
{4 14 18},{48},0.22,0.525
{4 14 48},{18},0.148,0.778
{14 18 48},{4},0.27,0.427
{4 18 48},{14},0.148,0.778
{4 14},{18 48},0.289,0.4
{14 18},{4 48},0.527,0.219
{4 18},{14 48},0.29,0.398
{14 48},{4 18},0.356,0.324
{4 48},{14 18},0.197,0.585
{18 48},{4 14},0.348,0.332
{14},{4 18 48},0.717,0.161
{4},{14 18 48},0.397,0.291
{18},{4 14 48},0.705,0.164
{48},{4 14 18},0.479,0.241
{4 14 18},{16},0.22,0.539
{4 14 16},{18},0.153,0.773
{14 16 18},{4},0.28,0.423
{4 16 18},{14},0.153,0.772
{4 14},{16 18},0.289,0.41
{14 18},{4 16},0.527,0.225
{4 18},{14 16},0.29,0.408
{14 16},{4 18},0.38,0.312
{4 16},{14 18},0.204,0.58
{16 18},{4 14},0.369,0.321
{14},{4 16 18},0.717,0.165
{4},{14 16 18},0.397,0.299
{18},{4 14 16},0.705,0.168
{16},{4 14 18},0.513,0.231
{4 14 26},{18},0.129,0.796
{4 14 18},{26},0.22,0.469
{14 18 26},{4},0.232,0.444
{4 18 26},{14},0.13,0.79
{4 14},{18 26},0.289,0.357
{14 26},{4 18},0.305,0.338
{4 26},{14 18},0.172,0.601
{14 18},{4 26},0.527,0.196
{4 18},{14 26},0.29,0.355
{18 26},{4 14},0.299,0.344
{14},{4 18 26},0.717,0.144
{4},{14 18 26},0.397,0.26
{26},{4 14 18},0.412,0.25
{18},{4 14 26},0.705,0.146
{4 14 30},{19},0.184,0.595
{14 19 30},{4},0.241,0.455
{4 19 30},{14},0.139,0.785
{4 14 19},{30},0.173,0.633
{14 30},{4 19},0.421,0.26
{4 30},{14 19},0.242,0.453
{4 14},{19 30},0.289,0.379
{19 30},{4 14},0.316,0.346
{14 19},{4 30},0.399,0.274
{4 19},{14 30},0.228,0.48
{30},{4 14 19},0.563,0.194
{14},{4 19 30},0.717,0.153
{4},{14 19 30},0.397,0.276
{19},{4 14 30},0.54,0.203
{4 14 19},{34},0.173,0.718
{4 14 34},{19},0.201,0.619
{14 19 34},{4},0.275,0.451
{4 19 34},{14},0.161,0.772
{4 14},{19 34},0.289,0.43
{14 19},{4 34},0.399,0.311
{4 19},{14 34},0.228,0.544
{14 34},{4 19},0.475,0.261
{4 34},{14 19},0.269,0.461
{19 34},{4 14},0.36,0.345
{14},{4 19 34},0.717,0.173
{4},{14 19 34},0.397,0.313
{19},{4 14 34},0.54,0.23
{34},{4 14 19},0.641,0.194
{4 14 30},{34},0.184,0.701
{14 30 34},{4},0.282,0.456
{4 30 34},{14},0.167,0.77
{4 14 34},{30},0.201,0.642
{14 30},{4 34},0.421,0.306
{4 30},{14 34},0.242,0.533
{4 14},{30 34},0.289,0.446
{30 34},{4 14},0.368,0.35
{14 34},{4 30},0.475,0.271
{4 34},{14 30},0.269,0.478
{30},{4 14 34},0.563,0.229
{14},{4 30 34},0.717,0.18
{4},{14 30 34},0.397,0.325
{34},{4 14 30},0.641,0.201
{4 14 34},{48},0.201,0.541
{4 14 48},{34},0.148,0.73
{14 34 48},{4},0.242,0.448
{4 34 48},{14},0.139,0.778
{4 14},{34 48},0.289,0.375
{14 34},{4 48},0.475,0.228
{4 34},{14 48},0.269,0.403
{14 48},{4 34},0.356,0.305
{4 48},{14 34},0.197,0.55
{34 48},{4 14},0.316,0.343
{14},{4 34 48},0.717,0.151
{4},{14 34 48},0.397,0.273
{34},{4 14 48},0.641,0.169
{48},{4 14 34},0.479,0.226
{4 14 34},{16},0.201,0.541
{4 14 16},{34},0.153,0.708
{14 16 34},{4},0.257,0.423
{4 16 34},{14},0.142,0.763
{4 14},{16 34},0.289,0.375
{14 34},{4 16},0.475,0.228
{4 34},{14 16},0.269,0.403
{14 16},{4 34},0.38,0.286
{4 16},{14 34},0.204,0.531
{16 34},{4 14},0.332,0.326
{14},{4 16 34},0.717,0.151
{4},{14 16 34},0.397,0.273
{34},{4 14 16},0.641,0.169
{16},{4 14 34},0.513,0.211
{4 19 30},{18},0.139,0.754
{4 18 30},{19},0.173,0.609
{18 19 30},{4},0.237,0.444
{4 18 19},{30},0.173,0.607
{4 30},{18 19},0.242,0.435
{19 30},{4 18},0.316,0.332
{4 19},{18 30},0.228,0.461
{18 30},{4 19},0.397,0.265
{4 18},{19 30},0.29,0.362
{18 19},{4 30},0.4,0.263
{30},{4 18 19},0.563,0.187
{4},{18 19 30},0.397,0.265
{19},{4 18 30},0.54,0.195
{18},{4 19 30},0.705,0.149
{4 19 34},{18},0.161,0.766
{4 18 34},{19},0.205,0.602
{18 19 34},{4},0.274,0.449
{4 18 19},{34},0.173,0.711
{4 34},{18 19},0.269,0.457
{19 34},{4 18},0.36,0.342
{4 19},{18 34},0.228,0.539
{18 34},{4 19},0.466,0.264
{4 18},{19 34},0.29,0.424
{18 19},{4 34},0.4,0.308
{34},{4 18 19},0.641,0.192
{4},{18 19 34},0.397,0.31
{19},{4 18 34},0.54,0.228
{18},{4 19 34},0.705,0.175
{4 30 34},{18},0.167,0.745
{18 30 34},{4},0.27,0.462
{4 18 30},{34},0.173,0.721
{4 18 34},{30},0.205,0.608
{30 34},{4 18},0.368,0.338
{4 30},{18 34},0.242,0.515
{4 34},{18 30},0.269,0.462
{18 30},{4 34},0.397,0.314
{18 34},{4 30},0.466,0.267
{4 18},{30 34},0.29,0.429
{30},{4 18 34},0.563,0.221
{34},{4 18 30},0.641,0.194
{4},{18 30 34},0.397,0.314
{18},{4 30 34},0.705,0.177
{4 18 34},{48},0.205,0.533
{4 34 48},{18},0.139,0.782
{18 34 48},{4},0.235,0.464
{4 18 48},{34},0.148,0.735
{4 34},{18 48},0.269,0.405
{18 34},{4 48},0.466,0.234
{4 18},{34 48},0.29,0.376
{34 48},{4 18},0.316,0.345
{4 48},{18 34},0.197,0.553
{18 48},{4 34},0.348,0.314
{34},{4 18 48},0.641,0.17
{4},{18 34 48},0.397,0.275
{18},{4 34 48},0.705,0.155
{48},{4 18 34},0.479,0.228
{4 18 34},{16},0.205,0.537
{4 16 34},{18},0.142,0.772
{16 18 34},{4},0.246,0.447
{4 16 18},{34},0.153,0.715
{4 34},{16 18},0.269,0.408
{18 34},{4 16},0.466,0.235
{4 18},{16 34},0.29,0.378
{16 34},{4 18},0.332,0.33
{4 16},{18 34},0.204,0.538
{16 18},{4 34},0.369,0.298
{34},{4 16 18},0.641,0.171
{4},{16 18 34},0.397,0.277
{18},{4 16 34},0.705,0.156
{16},{4 18 34},0.513,0.214
{4 19 30},{34},0.139,0.72
{4 30 34},{19},0.167,0.601
{19 30 34},{4},0.215,0.468
{4 19 34},{30},0.161,0.624
{4 30},{19 34},0.242,0.416
{19 30},{4 34},0.316,0.318
{4 19},{30 34},0.228,0.44
{30 34},{4 19},0.368,0.273
{4 34},{19 30},0.269,0.373
{19 34},{4 30},0.36,0.279
{30},{4 19 34},0.563,0.178
{4},{19 30 34},0.397,0.253
{19},{4 30 34},0.54,0.186
{34},{4 19 30},0.641,0.157
{6 14 19},{18},0.221,0.775
{6 14 18},{19},0.29,0.59
{14 18 19},{6},0.306,0.559
{6 18 19},{14},0.222,0.77
{6 14},{18 19},0.388,0.441
{14 19},{6 18},0.399,0.428
{6 19},{14 18},0.298,0.573
{14 18},{6 19},0.527,0.324
{6 18},{14 19},0.382,0.448
{18 19},{6 14},0.4,0.427
{14},{6 18 19},0.717,0.238
{6},{14 18 19},0.528,0.324
{19},{6 14 18},0.54,0.317
{18},{6 14 19},0.705,0.242
{6 14 21},{18},0.137,0.768
{6 14 18},{21},0.29,0.363
{14 18 21},{6},0.175,0.601
{6 18 21},{14},0.134,0.782
{6 14},{18 21},0.388,0.271
{14 21},{6 18},0.233,0.452
{6 21},{14 18},0.179,0.587
{14 18},{6 21},0.527,0.199
{6 18},{14 21},0.382,0.275
{18 21},{6 14},0.223,0.472
{14},{6 18 21},0.717,0.147
{6},{14 18 21},0.528,0.199
{21},{6 14 18},0.307,0.343
{18},{6 14 21},0.705,0.149
{6 14 28},{18},0.149,0.761
{6 14 18},{28},0.29,0.392
{14 18 28},{6},0.192,0.59
{6 18 28},{14},0.143,0.793
{6 14},{18 28},0.388,0.293
{14 28},{6 18},0.257,0.442
{6 28},{14 18},0.195,0.581
{14 18},{6 28},0.527,0.215
{6 18},{14 28},0.382,0.297
{18 28},{6 14},0.244,0.464
{14},{6 18 28},0.717,0.158
{6},{14 18 28},0.528,0.215
{28},{6 14 18},0.342,0.331
{18},{6 14 28},0.705,0.161
{6 14 30},{18},0.235,0.743
{6 14 18},{30},0.29,0.601
{14 18 30},{6},0.31,0.562
{6 18 30},{14},0.222,0.786
{6 14},{18 30},0.388,0.449
{14 30},{6 18},0.421,0.414
{6 30},{14 18},0.307,0.568
{14 18},{6 30},0.527,0.33
{6 18},{14 30},0.382,0.456
{18 30},{6 14},0.397,0.439
{14},{6 18 30},0.717,0.243
{6},{14 18 30},0.528,0.33
{30},{6 14 18},0.563,0.309
{18},{6 14 30},0.705,0.247
{6 14 34},{18},0.265,0.762
{6 14 18},{34},0.29,0.698
{14 18 34},{6},0.36,0.561
{6 18 34},{14},0.262,0.772
{6 14},{18 34},0.388,0.522
{14 34},{6 18},0.475,0.426
{6 34},{14 18},0.352,0.574
{14 18},{6 34},0.527,0.384
{6 18},{14 34},0.382,0.53
{18 34},{6 14},0.466,0.433
{14},{6 18 34},0.717,0.282
{6},{14 18 34},0.528,0.383
{34},{6 14 18},0.641,0.316
{18},{6 14 34},0.705,0.287
{6 14 44},{18},0.155,0.768
{6 14 18},{44},0.29,0.412
{14 18 44},{6},0.212,0.563
{6 18 44},{14},0.153,0.782
{6 14},{18 44},0.388,0.308
{14 44},{6 18},0.283,0.422
{6 44},{14 18},0.206,0.581
{14 18},{6 44},0.527,0.227
{6 18},{14 44},0.382,0.313
{18 44},{6 14},0.271,0.441
{14},{6 18 44},0.717,0.167
{6},{14 18 44},0.528,0.226
{44},{6 14 18},0.373,0.32
{18},{6 14 44},0.705,0.169
{6 14 18},{48},0.29,0.523
{6 14 48},{18},0.194,0.781
{14 18 48},{6},0.27,0.56
{6 18 48},{14},0.191,0.795
{6 14},{18 48},0.388,0.391
{14 18},{6 48},0.527,0.287
{6 18},{14 48},0.382,0.397
{14 48},{6 18},0.356,0.425
{6 48},{14 18},0.256,0.592
{18 48},{6 14},0.348,0.436
{14},{6 18 48},0.717,0.211
{6},{14 18 48},0.528,0.287
{18},{6 14 48},0.705,0.215
{48},{6 14 18},0.479,0.316
{6 14 18},{49},0.29,0.441
{6 14 49},{18},0.164,0.778
{14 18 49},{6},0.219,0.583
{6 18 49},{14},0.163,0.782
{6 14},{18 49},0.388,0.33
{14 18},{6 49},0.527,0.242
{6 18},{14 49},0.382,0.335
{14 49},{6 18},0.289,0.442
{6 49},{14 18},0.215,0.596
{18 49},{6 14},0.283,0.452
{14},{6 18 49},0.717,0.178
{6},{14 18 49},0.528,0.242
{18},{6 14 49},0.705,0.181
{49},{6 14 18},0.389,0.329
{6 14 18},{16},0.29,0.543
{6 14 16},{18},0.209,0.754
{14 16 18},{6},0.28,0.561
{6 16 18},{14},0.204,0.77
{6 14},{16 18},0.388,0.405
{14 18},{6 16},0.527,0.298
{6 18},{14 16},0.382,0.412
{14 16},{6 18},0.38,0.414
{6 16},{14 18},0.278,0.565
{16 18},{6 14},0.369,0.426
{14},{6 16 18},0.717,0.219
{6},{14 16 18},0.528,0.298
{18},{6 14 16},0.705,0.223
{16},{6 14 18},0.513,0.306
{6 14 26},{18},0.167,0.768
{6 14 18},{26},0.29,0.442
{14 18 26},{6},0.232,0.552
{6 18 26},{14},0.164,0.78
{6 14},{18 26},0.388,0.33
{14 26},{6 18},0.305,0.42
{6 26},{14 18},0.222,0.578
{14 18},{6 26},0.527,0.243
{6 18},{14 26},0.382,0.336
{18 26},{6 14},0.299,0.428
{14},{6 18 26},0.717,0.179
{6},{14 18 26},0.528,0.243
{26},{6 14 18},0.412,0.311
{18},{6 14 26},0.705,0.182
{6 12 14},{18},0.155,0.765
{6 14 18},{12},0.29,0.409
{12 14 18},{6},0.216,0.55
{6 12 18},{14},0.151,0.782
{6 14},{12 18},0.388,0.306
{12 14},{6 18},0.279,0.425
{6 12},{14 18},0.202,0.586
{14 18},{6 12},0.527,0.225
{6 18},{12 14},0.382,0.31
{12 18},{6 14},0.273,0.435
{14},{6 12 18},0.717,0.165
{6},{12 14 18},0.528,0.225
{12},{6 14 18},0.365,0.324
{18},{6 12 14},0.705,0.168
{6 14 18},{46},0.29,0.433
{6 14 46},{18},0.156,0.802
{14 18 46},{6},0.215,0.583
{6 18 46},{14},0.165,0.761
{6 14},{18 46},0.388,0.324
{14 18},{6 46},0.527,0.238
{6 18},{14 46},0.382,0.329
{14 46},{6 18},0.279,0.45
{6 46},{14 18},0.211,0.595
{18 46},{6 14},0.28,0.448
{14},{6 18 46},0.717,0.175
{6},{14 18 46},0.528,0.238
{18},{6 14 46},0.705,0.178
{46},{6 14 18},0.372,0.337
{6 14 18},{32},0.29,0.464
{6 14 32},{18},0.173,0.779
{14 18 32},{6},0.231,0.583
{6 18 32},{14},0.176,0.763
{6 14},{18 32},0.388,0.347
{14 18},{6 32},0.527,0.255
{6 18},{14 32},0.382,0.352
{14 32},{6 18},0.299,0.449
{6 32},{14 18},0.234,0.574
{18 32},{6 14},0.304,0.443
{14},{6 18 32},0.717,0.188
{6},{14 18 32},0.528,0.255
{18},{6 14 32},0.705,0.191
{32},{6 14 18},0.413,0.326
{6 14 30},{19},0.235,0.579
{6 14 19},{30},0.221,0.616
{14 19 30},{6},0.241,0.564
{6 19 30},{14},0.179,0.759
{6 14},{19 30},0.388,0.35
{14 30},{6 19},0.421,0.323
{6 30},{14 19},0.307,0.443
{14 19},{6 30},0.399,0.34
{6 19},{14 30},0.298,0.455
{19 30},{6 14},0.316,0.429
{14},{6 19 30},0.717,0.189
{6},{14 19 30},0.528,0.257
{30},{6 14 19},0.563,0.241
{19},{6 14 30},0.54,0.252
{6 14 19},{34},0.221,0.699
{6 14 34},{19},0.265,0.581
{14 19 34},{6},0.275,0.561
{6 19 34},{14},0.204,0.755
{6 14},{19 34},0.388,0.398
{14 19},{6 34},0.399,0.386
{6 19},{14 34},0.298,0.517
{14 34},{6 19},0.475,0.325
{6 34},{14 19},0.352,0.438
{19 34},{6 14},0.36,0.429
{14},{6 19 34},0.717,0.215
{6},{14 19 34},0.528,0.292
{19},{6 14 34},0.54,0.286
{34},{6 14 19},0.641,0.241
{6 14 19},{48},0.221,0.536
{6 14 48},{19},0.194,0.609
{14 19 48},{6},0.21,0.564
{6 19 48},{14},0.151,0.78
{6 14},{19 48},0.388,0.305
{14 19},{6 48},0.399,0.296
{6 19},{14 48},0.298,0.396
{14 48},{6 19},0.356,0.332
{6 48},{14 19},0.256,0.462
{19 48},{6 14},0.268,0.441
{14},{6 19 48},0.717,0.165
{6},{14 19 48},0.528,0.224
{19},{6 14 48},0.54,0.219
{48},{6 14 19},0.479,0.247
{6 14 19},{16},0.221,0.536
{6 14 16},{19},0.209,0.566
{14 16 19},{6},0.214,0.551
{6 16 19},{14},0.161,0.733
{6 14},{16 19},0.388,0.305
{14 19},{6 16},0.399,0.296
{6 19},{14 16},0.298,0.396
{14 16},{6 19},0.38,0.311
{6 16},{14 19},0.278,0.424
{16 19},{6 14},0.286,0.413
{14},{6 16 19},0.717,0.165
{6},{14 16 19},0.528,0.224
{19},{6 14 16},0.54,0.219
{16},{6 14 19},0.513,0.23
{6 14 28},{34},0.149,0.711
{6 14 34},{28},0.265,0.4
{14 28 34},{6},0.179,0.594
{6 28 34},{14},0.135,0.787
{6 14},{28 34},0.388,0.274
{14 28},{6 34},0.257,0.414
{6 28},{14 34},0.195,0.544
{14 34},{6 28},0.475,0.223
{6 34},{14 28},0.352,0.301
{28 34},{6 14},0.23,0.462
{14},{6 28 34},0.717,0.148
{6},{14 28 34},0.528,0.201
{28},{6 14 34},0.342,0.31
{34},{6 14 28},0.641,0.166
{6 14 30},{34},0.235,0.69
{6 14 34},{30},0.265,0.61
{14 30 34},{6},0.282,0.573
{6 30 34},{14},0.208,0.778
{6 14},{30 34},0.388,0.417
{14 30},{6 34},0.421,0.384
{6 30},{14 34},0.307,0.528
{14 34},{6 30},0.475,0.341
{6 34},{14 30},0.352,0.459
{30 34},{6 14},0.368,0.44
{14},{6 30 34},0.717,0.226
{6},{14 30 34},0.528,0.307
{30},{6 14 34},0.563,0.287
{34},{6 14 30},0.641,0.253
{6 14 30},{48},0.235,0.512
{6 14 48},{30},0.194,0.62
{14 30 48},{6},0.218,0.552
{6 30 48},{14},0.154,0.778
{6 14},{30 48},0.388,0.31
{14 30},{6 48},0.421,0.285
{6 30},{14 48},0.307,0.392
{14 48},{6 30},0.356,0.337
{6 48},{14 30},0.256,0.469
{30 48},{6 14},0.282,0.426
{14},{6 30 48},0.717,0.168
{6},{14 30 48},0.528,0.228
{30},{6 14 48},0.563,0.213
{48},{6 14 30},0.479,0.251
{6 14 30},{49},0.235,0.455
{6 14 49},{30},0.164,0.65
{14 30 49},{6},0.178,0.602
{6 30 49},{14},0.133,0.804
{6 14},{30 49},0.388,0.275
{14 30},{6 49},0.421,0.254
{6 30},{14 49},0.307,0.348
{14 49},{6 30},0.289,0.37
{6 49},{14 30},0.215,0.498
{30 49},{6 14},0.229,0.466
{14},{6 30 49},0.717,0.149
{6},{14 30 49},0.528,0.202
{30},{6 14 49},0.563,0.19
{49},{6 14 30},0.389,0.275
{6 14 30},{16},0.235,0.532
{6 14 16},{30},0.209,0.598
{14 16 30},{6},0.22,0.567
{6 16 30},{14},0.164,0.762
{6 14},{16 30},0.388,0.322
{14 30},{6 16},0.421,0.296
{6 30},{14 16},0.307,0.407
{14 16},{6 30},0.38,0.329
{6 16},{14 30},0.278,0.448
{16 30},{6 14},0.29,0.43
{14},{6 16 30},0.717,0.174
{6},{14 16 30},0.528,0.237
{30},{6 14 16},0.563,0.222
{16},{6 14 30},0.513,0.243
{6 14 30},{26},0.235,0.444
{6 14 26},{30},0.167,0.624
{14 26 30},{6},0.188,0.555
{6 26 30},{14},0.131,0.792
{6 14},{26 30},0.388,0.269
{14 30},{6 26},0.421,0.247
{6 30},{14 26},0.307,0.339
{14 26},{6 30},0.305,0.341
{6 26},{14 30},0.222,0.47
{26 30},{6 14},0.245,0.426
{14},{6 26 30},0.717,0.145
{6},{14 26 30},0.528,0.197
{30},{6 14 26},0.563,0.185
{26},{6 14 30},0.412,0.252
{6 14 30},{46},0.235,0.427
{6 14 46},{30},0.156,0.64
{14 30 46},{6},0.175,0.573
{6 30 46},{14},0.132,0.759
{6 14},{30 46},0.388,0.258
{14 30},{6 46},0.421,0.238
{6 30},{14 46},0.307,0.326
{14 46},{6 30},0.279,0.359
{6 46},{14 30},0.211,0.475
{30 46},{6 14},0.226,0.443
{14},{6 30 46},0.717,0.14
{6},{14 30 46},0.528,0.19
{30},{6 14 46},0.563,0.178
{46},{6 14 30},0.372,0.269
{6 14 30},{32},0.235,0.478
{6 14 32},{30},0.173,0.65
{14 30 32},{6},0.187,0.599
{6 30 32},{14},0.144,0.778
{6 14},{30 32},0.388,0.289
{14 30},{6 32},0.421,0.266
{6 30},{14 32},0.307,0.366
{14 32},{6 30},0.299,0.375
{6 32},{14 30},0.234,0.479
{30 32},{6 14},0.245,0.458
{14},{6 30 32},0.717,0.156
{6},{14 30 32},0.528,0.213
{30},{6 14 32},0.563,0.199
